well,date,wl,rp,td,from,to
03N23W08B07S,6/10/1987,222.8999939,241.703,60,,
03N23W08B07S,8/4/1987,219.6999969,241.703,60,,
03N23W08B07S,9/21/1987,217.8000031,241.703,60,,
03N23W08B07S,12/8/1987,218.1999969,241.703,60,,
03N23W08B07S,2/4/1988,224.8000031,241.703,60,,
03N23W08B07S,4/6/1988,225.6999969,241.703,60,,
03N23W08B07S,6/6/1988,226.1000061,241.703,60,,
03N23W08B07S,7/26/1988,224,241.703,60,,
03N23W08B07S,10/13/1988,220.8999939,241.703,60,,
03N23W08B07S,12/5/1988,217.1999969,241.703,60,,
03N23W08B07S,1/31/1989,218,241.703,60,,
03N23W08B07S,4/3/1989,227.3000031,241.703,60,,
03N23W08B07S,6/5/1989,224.1999969,241.703,60,,
03N23W08B07S,7/31/1989,219.1000061,241.703,60,,
03N23W08B07S,10/2/1989,216.3000031,241.703,60,,
03N23W08B07S,12/4/1989,214.6000061,241.703,60,,
03N23W08B07S,1/29/1990,214.3999939,241.703,60,,
03N23W08B07S,3/26/1990,217.8000031,241.703,60,,
03N23W08B07S,6/5/1990,218.3999939,241.703,60,,
03N23W08B07S,8/2/1990,218.1999969,241.703,60,,
03N23W08B07S,9/25/1990,216.1999969,241.703,60,,
03N23W08B07S,12/4/1990,213,241.703,60,,
03N23W08B07S,2/6/1991,209.6000061,241.703,60,,
03N23W08B07S,4/8/1991,226.3000031,241.703,60,,
03N23W08B07S,6/7/1991,225.1000061,241.703,60,,
03N23W08B07S,8/7/1991,224.1999969,241.703,60,,
03N23W08B07S,9/25/1991,221.8999939,241.703,60,,
03N23W08B07S,12/3/1991,219.5,241.703,60,,
03N23W08B07S,1/28/1992,221,241.703,60,,
03N23W08B07S,4/9/1992,223,241.703,60,,
03N23W08B07S,5/26/1992,223.3000031,241.703,60,,
03N23W08B07S,7/20/1992,223.6000061,241.703,60,,
03N23W08B07S,9/24/1992,222.3000031,241.703,60,,
03N23W08B07S,12/21/1992,222.3000031,241.703,60,,
03N23W08B07S,2/16/1993,223.5,241.703,60,,
03N23W08B07S,3/23/1993,223.5,241.703,60,,
03N23W08B07S,6/8/1993,222.3999939,241.703,60,,
03N23W08B07S,8/10/1993,223.8999939,241.703,60,,
03N23W08B07S,10/28/1993,222.1999969,241.703,60,,
03N23W08B07S,12/2/1993,222.3999939,241.703,60,,
03N23W08B07S,1/24/1994,222.1000061,241.703,60,,
03N23W08B07S,3/21/1994,223.8000031,241.703,60,,
03N23W08B07S,5/23/1994,222.1000061,241.703,60,,
03N23W08B07S,7/20/1994,221.1999969,241.703,60,,
03N23W08B07S,9/20/1994,219.1000061,241.703,60,,
03N23W08B07S,12/12/1994,222.6000061,241.703,60,,
03N23W08B07S,4/20/1995,225.8999939,241.703,60,,
03N23W08B07S,4/3/1996,225.5,241.703,60,,
03N23W08B07S,5/30/1996,225,241.703,60,,
03N23W08B07S,8/21/1996,222.6999969,241.703,60,,
03N23W08B07S,12/19/1996,227,241.703,60,,
03N23W08B07S,2/6/1997,227.3999939,241.703,60,,
03N23W08B07S,4/9/1997,226.6999969,241.703,60,,
03N23W08B07S,6/5/1997,224.3999939,241.703,60,,
03N23W08B07S,7/28/1997,223.3000031,241.703,60,,
03N23W08B07S,10/10/1997,221.3999939,241.703,60,,
03N23W08B07S,12/8/1997,226.1999969,241.703,60,,
03N23W08B07S,2/9/1998,232.3999939,241.703,60,,
03N23W08B07S,4/6/1998,225.5,241.703,60,,
03N23W08B07S,6/5/1998,225.8999939,241.703,60,,
03N23W08B07S,8/6/1998,224.3999939,241.703,60,,
03N23W08B07S,10/1/1998,223.3999939,241.703,60,,
03N23W08B07S,12/7/1998,223,241.703,60,,
03N23W08B07S,2/10/1999,226.8000031,241.703,60,,
03N23W08B07S,4/1/1999,223.1999969,241.703,60,,
03N23W08B07S,6/3/1999,223.1999969,241.703,60,,
03N23W08B07S,7/28/1999,222.3999939,241.703,60,,
03N23W08B07S,4/5/2000,225.8999939,241.703,60,,
03N23W08B07S,6/7/2000,227,241.703,60,,
03N23W08B07S,8/24/2000,223.3000031,241.703,60,,
03N23W08B07S,10/3/2000,222.6000061,241.703,60,,
03N23W08B07S,12/5/2000,221.6999969,241.703,60,,
03N23W08B07S,2/1/2001,224.1000061,241.703,60,,
03N23W08B07S,4/2/2001,226.1999969,241.703,60,,
03N23W08B07S,5/29/2001,225.8000031,241.703,60,,
03N23W08B07S,8/8/2001,225.1999969,241.703,60,,
03N23W08B07S,10/2/2001,225.1000061,241.703,60,,
03N23W08B07S,12/5/2001,225.1999969,241.703,60,,
03N23W08B07S,2/5/2002,225.1000061,241.703,60,,
03N23W08B07S,4/3/2002,225.3000031,241.703,60,,
03N23W08B07S,5/31/2002,225.3000031,241.703,60,,
03N23W08B07S,8/1/2002,222.5,241.703,60,,
03N23W08B07S,10/10/2002,221.1999969,241.703,60,,
03N23W08B07S,12/3/2002,221.8999939,241.703,60,,
03N23W08B07S,1/29/2003,223.1999969,241.703,60,,
03N23W08B07S,3/28/2003,225.3999939,241.703,60,,
03N23W08B07S,6/4/2003,225.5,241.703,60,,
03N23W08B07S,8/1/2003,224.5,241.703,60,,
03N23W08B07S,10/3/2003,224.6000061,241.703,60,,
03N23W08B07S,12/2/2003,223.3000031,241.703,60,,
03N23W08B07S,1/30/2004,221.5,241.703,60,,
03N23W08B07S,4/2/2004,224.3999939,241.703,60,,
03N23W08B07S,5/28/2004,224.6000061,241.703,60,,
03N23W08B07S,7/29/2004,223.8000031,241.703,60,,
03N23W08B07S,10/5/2004,220.6999969,241.703,60,,
03N23W08B07S,12/8/2004,222.6000061,241.703,60,,
03N23W08B07S,2/2/2005,228,241.703,60,,
03N23W08B07S,3/31/2005,226.3999939,241.703,60,,
03N23W08B07S,6/6/2005,226.3999939,241.703,60,,
03N23W08B07S,8/1/2005,226,241.703,60,,
03N23W08B07S,9/29/2005,225.5,241.703,60,,
03N23W08B07S,12/6/2005,226.3000031,241.703,60,,
03N23W08B07S,2/3/2006,225.6000061,241.703,60,,
03N23W08B07S,4/6/2006,228.6999969,241.703,60,,
03N23W08B07S,6/5/2006,226.1000061,241.703,60,,
03N23W08B07S,7/26/2006,226.3000031,241.703,60,,
03N23W08B07S,9/27/2006,226,241.703,60,,
03N23W08B07S,12/1/2006,225.8999939,241.703,60,,
03N23W08B07S,2/1/2007,225.8999939,241.703,60,,
03N23W08B07S,3/29/2007,225.6000061,241.703,60,,
03N23W08B07S,6/5/2007,225.6999969,241.703,60,,
03N23W08B07S,8/7/2007,225.6000061,241.703,60,,
03N23W08B07S,9/28/2007,225.1999969,241.703,60,,
03N23W08B07S,11/30/2007,224.1999969,241.703,60,,
03N23W08B07S,2/4/2008,226.5,241.703,60,,
03N23W08B07S,3/27/2008,226,241.703,60,,
03N23W08B07S,6/2/2008,225.8000031,241.703,60,,
03N23W08B07S,8/8/2008,225.6000061,241.703,60,,
03N23W08B07S,9/24/2008,225.6000061,241.703,60,,
